з.е.,Распределение з.е. по курсам и периодам обучения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.04
Мобильные приложения
[За]
ПК-2.1; ПК-2.2; ПК-2.3; ПК-7.1; ПК-7.2; ПК-7.3",3,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
17,,{$},,"Б1.О.10
Высшая математика
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",8,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.15
Web-технологии
[ЗаО]
ПК-5.1; ПК-5.2; ПК-5.3; ПК-7.1; ПК-7.2; ПК-7.3",5,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
18,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
19,,{$},,,,{$},,,,,{$},,"Б1.О.17
Операционные системы
[За]
ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-5.1; ОПК-5.2; ОПК-5.3",3,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.05
Инструментальные средства разработки ИС
[За]
ПК-8.1; ПК-8.2; ПК-8.3",3,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
20,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
21,,{$},,,,{$},,"Б1.О.11
Дискретная математика
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",5,,{$},,,,{$},,"Б1.О.21
Базы данных
[Эк]
ОПК-2.1; ОПК-2.2; ОПК-2.3",4,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.10
Английский язык для профессиональных целей
[За]
УК-4.1; УК-4.2; УК-4.3",1.5,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
22,,{$},,,,{$},,,,,{$},,"Б1.О.20
Основы проектного менеджмента
[Эк]
УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; ОПК-9.1; ОПК-9.2; ОПК-9.3",4,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.17
Интернет предпринимательство
[За]
ПК-1.1; ПК-1.2; ПК-1.3; ПК-9.1; ПК-9.2; ПК-9.3",3,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.07
Язык Python для анализа данных
[За]
ПК-2.1; ПК-2.2; ПК-2.3",3,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
23,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.11
Интеллектуальный анализ данных
[За]
ПК-5.1; ПК-5.2; ПК-5.3",3,,{$},,,,{$},,"Б3.01
выполнение и защита выпускной квалификационной работы
УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3; УК-7.1; УК-7.2; УК-7.3; УК-8.1; УК-8.2; УК-8.3; УК-9.1; УК-9.2; УК-9.3; УК-10.1; УК-10.2; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-5.1; ОПК-5.2; ОПК-5.3; ОПК-6.1; ОПК-6.2; ОПК-6.3; ОПК-7.1; ОПК-7.2; ОПК-7.3; ОПК-8.1; ОПК-8.2; ОПК-8.3; ОПК-9.1; ОПК-9.2; ОПК-9.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2; ПК-6.3; ПК-7.1; ПК-7.2; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3; ПК-9.1; ПК-9.2; ПК-9.3",9
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
24,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
25,,{$},,"Б1.О.13
Эффективная коммуникация
[За]
УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3",3,{$},,,,,{$},,,,{$},,"Б1.О.23
Эконометрика
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",4,,{$},,,,{$},,,,,{$},,"Б1.В.ДВ.01.02
Дисциплины (модули) по выбору 1 (ДВ.1): Технологии виртуальной и дополненной реальности
[Эк]
(/ Технология разработки компьютерных игр)
ПК-2.1; ПК-2.2; ПК-2.3",5,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.08
Разработка интерфейсов
[За]
ПК-2.1; ПК-2.2; ПК-2.3; ПК-7.1; ПК-7.2; ПК-7.3",3,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
26,,{$},,,,{$},,"Б1.О.18
Физическая культура и спорт
[За]
УК-7.1; УК-7.2; УК-7.3",0.5,,{$},,"Б1.О.21
Базы данных
[За, КР]
ОПК-2.1; ОПК-2.2; ОПК-2.3",4,{$},,,,,{$},,,,{$},,"Б2.В.01(П)
Технологическая (проектно-технологическая) практика
[ЗаО]
ПК-1.1; ПК-1.2; ПК-1.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-7.1; ПК-7.2; ПК-7.3",6,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,"Б1.О.22
Макроэкономика
[Эк]
УК-9.1; УК-9.2; УК-9.3; ОПК-6.1; ОПК-6.2; ОПК-6.3",4,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
27,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
28,,{$},,"Б1.О.18
Физическая культура и спорт
[За]
УК-7.1; УК-7.2; УК-7.3",0.5,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.10
Английский язык для профессиональных целей
[За]
УК-4.1; УК-4.2; УК-4.3",1.5,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
29,,,,,,{$},,,,,{$},,,,{$},,"Б2.О.02(У)
Технологическая (проектно-технологическая) практика
[ЗаО]
УК-1.1; УК-1.2; УК-1.3; ОПК-1.1; ОПК-1.2; ОПК-1.3",3,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
30,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,"Б2.О.01(У)
Ознакомительная практика
[ЗаО]
ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-5.1; ОПК-5.2; ОПК-5.3",3,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
31,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,,,,,,,{$},,,
32,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,"ФТД.01
Прикладные информационные системы
[За]
ОПК-8.1; ОПК-8.2; ОПК-8.3",2,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
33,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,{$},,"ФТД.02
Информационное общество и проблемы прикладной информатики
[За]
УК-1.1; УК-1.2; УК-1.3",2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
