-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,Экспер тное,По плану,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,,210,7888,7888,3460,3564,864,27.5,1040,150,36,242,540,72,29.5,1112,166,36,298,468,144,29,1112,144,36,320,504,108,28,1076,126,36,320,450,144,29,1090,184,,330,468,108,25,946,148,,258,432,108,29,1044,198,,252,486,108,13,468,60,,120,216,72,
Обязательная часть ,,,,,,,,115,4468,4468,2038,1962,468,27.5,1040,150,36,242,540,72,29.5,1112,166,36,298,468,144,29,1112,144,36,320,504,108,28,1076,126,36,320,450,144,0.5,64,4,,60,,,0.5,64,4,,60,,,,,,,,,,,,,,,,,
+,Б1.О.01,Философия,,4,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,,12,,,,4,144,144,72,72,,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,2,72,72,36,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,,2,,,,2,72,72,36,36,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,4,123,,,,9,324,324,144,144,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,3,108,108,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,"Вычислительные системы, сети и телекоммуникации",,4,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,36,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.06,Системный анализ,,2,,,,3,108,108,54,54,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.О.07,Программирование,3,12,,,,10,360,360,162,162,36,3,108,18,36,,54,,3,108,18,36,,54,,4,144,18,36,,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.08,Введение в профессиональную деятельность,2,1,,,,5,180,180,54,90,36,2,72,18,,,54,,3,108,18,,18,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.09,Информационные системы и технологии,1,,,,,7,252,252,72,144,36,7,252,36,,36,144,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.10,Высшая математика,12,,,,,15,540,540,180,288,72,8,288,36,,54,162,36,7,252,36,,54,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.11,Дискретная математика,2,,,,,5,180,180,72,72,36,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.12,Теория вероятностей и математическая статистика,3,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,6,216,36,,36,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.13,Эффективная коммуникация,,1,,,,3,108,108,54,54,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
+,Б1.О.14,Информационная безопасность и защита информации,,4,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.15,Право,,4,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228
+,Б1.О.16,Проектирование информационных систем,4,3,,,4,8,288,288,108,144,36,,,,,,,,,,,,,,,3,108,18,,36,54,,5,180,18,,36,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.О.17,Операционные системы,,3,,,,3,108,108,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.18,Физическая культура и спорт,,1256,,,,2,72,72,72,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,346
+,Б1.О.19,Прикладная физическая культура  и спорт,,123456,,,,,328,328,328,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,346
+,Б1.О.20,Основы проектного менеджмента,3,,,,,4,144,144,54,54,36,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
+,Б1.О.21,Базы данных,4,3,,,3,8,288,288,108,144,36,,,,,,,,,,,,,,,4,144,18,,36,90,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.22,Макроэкономика,2,,,,,4,144,144,54,54,36,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
+,Б1.О.23,Эконометрика,4,,,,,4,144,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441
"Часть, формируемая участниками образовательных отношений ",,,,,,,,95,3420,3420,1422,1602,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,1026,180,,270,468,108,24.5,882,144,,198,432,108,29,1044,198,,252,486,108,13,468,60,,120,216,72,
+,Б1.В.01,Теория алгоритмов,5,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.02,Методы оптимизации,5,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.В.03,Фронтэнд разработка,5,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.04,Мобильные приложения,6,5,,,,8,288,288,126,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,5,180,36,,36,72,36,,,,,,,,,,,,,,,94
+,Б1.В.05,Инструментальные средства разработки ИС,,5,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.06,Управление IT проектами,,6,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,94
+,Б1.В.07,Язык Python для анализа данных,6,5,,,,9,324,324,126,162,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,6,216,36,,36,108,36,,,,,,,,,,,,,,,94
+,Б1.В.08,Разработка интерфейсов,,5,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.09,Бекэнд разработка,6,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,36,108,36,,,,,,,,,,,,,,,94
+,Б1.В.10,Английский язык для профессиональных целей,,56,,,,3,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,54,,,18,36,,1.5,54,,,18,36,,,,,,,,,,,,,,,,96
+,Б1.В.11,Интеллектуальный анализ данных,7,6,,,,8,288,288,126,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,5,180,36,,36,72,36,,,,,,,,98
+,Б1.В.12,Машинное обучение,7,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,94
+,Б1.В.13,Тестирование и контроль качества ПО,,7,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,94
+,Б1.В.14,Облачные технологии и сервисы,,7,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,94
+,Б1.В.15,Web-технологии,,,7,,,5,180,180,72,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,108,,,,,,,,,94
+,Б1.В.16,Аналитика больших данных,8,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,24,,48,72,36,94
+,Б1.В.17,Интернет предпринимательство,,7,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,94
+,Б1.В.18,Методы и технологии продвижения информационных ресурсов,8,,,,8,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,24,,48,72,36,94
+,Б1.В.ДВ.01,Дисциплины (модули) по выбору 1 (ДВ.1),7,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,
-,Б1.В.ДВ.01.01,Технология разработки компьютерных игр,7,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,94
+,Б1.В.ДВ.01.02,Технологии виртуальной и дополненной реальности,7,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,94
+,Б1.В.ДВ.02,Дисциплины (модули) по выбору 2 (ДВ.2),,8,,,,3,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,12,,24,72,,
+,Б1.В.ДВ.02.01,Технологии визуализации данных,,8,,,,3,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,12,,24,72,,94
-,Б1.В.ДВ.02.02,Цифровой сторителлинг,,8,,,,3,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,12,,24,72,,94
Блок 2.Практика ,,,,,,,,21,756,756,,756,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,6,216,216,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,,3,108,108,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б2.О.02(У),Технологическая (проектно-технологическая) практика,,,4,,,3,108,108,,108,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
"Часть, формируемая участниками образовательных отношений ",,,,,,,,15,540,540,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.В.01(П),Технологическая (проектно-технологическая) практика,,,6,,,6,216,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,94
+,Б2.В.02(П),Преддипломная  практика,,,8,,,9,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,94
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01,выполнение и защита выпускной квалификационной работы,,,,,,9,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,94
ФТД.Факультативные дисциплины ,,,,,,,,4,144,144,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,72,,,,,,,,,,,,,,,,
+,ФТД.01,Прикладные информационные системы,,6,,,,2,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,445
+,ФТД.02,Информационное общество и проблемы прикладной информатики,,6,,,,2,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,292
