-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,Экспер тное,По плану,Ауд.,СР,Конт роль,Элект часы,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лек электр.,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,,210,7888,7888,3407,3617,864,36,27.5,1040,168,,350,450,72,29.5,1112,184,18,316,450,144,28,1076,144,54,338,432,108,29,1112,144,72,248,504,144,28.5,1072,184,36,258,486,108,25.5,964,130,72,222,432,108,29,1044,156,36,84,138,558,108,13,468,35,,56,305,72,
Обязательная часть ,,,,,,,,143,5476,5476,2510,2354,612,,27.5,1040,168,,350,450,72,26.5,1004,166,18,280,396,144,25,968,126,54,302,378,108,26,1004,126,72,212,450,144,19.5,748,148,36,168,324,72,14.5,568,76,36,132,252,72,4,144,10,,,30,104,,,,,,,,,
+,Б1.О.01,Философия,4,,,,,4,144,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,,12,,,,4,144,144,72,72,,,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,2,72,72,36,36,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,,2,,,,2,72,72,36,36,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,4,123,,,,9,324,324,144,144,36,,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,Физика,3,2,,,,8,288,288,126,126,36,,,,,,,,,4,144,36,18,18,72,,4,144,18,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
+,Б1.О.06,Информатика,1,,,,,4,144,144,54,54,36,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.07,Основы программирования,2,1,,,,9,324,324,144,144,36,,5,180,18,,72,90,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.08,Алгебра и геометрия,1,,,,,5,180,180,72,72,36,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.09,Математический анализ,2,1,,,,10,360,360,180,144,36,,5,180,36,,54,90,,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.10,Дискретная математика,2,,,,,5,180,180,72,72,36,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.11,Электротехника и электроника,34,,,,,11,396,396,162,162,72,,,,,,,,,,,,,,,,5,180,36,36,18,54,36,6,216,36,36,,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.12,Теория автоматического управления,4,5,,,5,10,360,360,144,180,36,,,,,,,,,,,,,,,,,,,,,,,6,216,36,36,,108,36,4,144,36,36,,72,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.13,Метрология и измерительная техника автоматизированных систем,,3,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.14,Промышленные сети и интерфейсы,,4,,,,4,144,144,54,90,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.15,Моделирование систем,5,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,36,108,36,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.16,Исполнительные устройства автоматики,6,,,,,5,180,180,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,,,,,,,,,,,,,,,,97
+,Б1.О.17,Системы управления жизненным циклом продукции,5,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.18,Элементы и устройства автоматики,,5,,,,4,144,144,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,72,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.19,Проектирование систем управления,,7,,,,4,144,144,40,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,10,,,30,104,,,,,,,,,378
+,Б1.О.20,Введение в профессиональную деятельность,2,1,,,,8,288,288,108,144,36,,4,144,36,,36,72,,4,144,18,,18,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.21,Технология разработки программного обеспечения,3,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.22,Надежность систем управления,6,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,36,,108,36,,,,,,,,,,,,,,,,97
+,Б1.О.23,Инженерная и компьютерная графика,,3,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.24,Методы оптимизации,,4,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.О.25,Экономика и управление производством,,6,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,97
+,Б1.О.26,Физическая культура и спорт,,1256,,,,2,72,72,72,,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,,346
+,Б1.О.27,Прикладная физическая культура и спорт,,123456,,,,,328,328,328,,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,,346
"Часть, формируемая участниками образовательных отношений ",,,,,,,,67,2412,2412,897,1263,252,36,,,,,,,,3,108,18,,36,54,,3,108,18,,36,54,,3,108,18,,36,54,,9,324,36,,90,162,36,11,396,54,36,90,180,36,25,900,146,36,84,108,454,108,13,468,35,,56,305,72,
+,Б1.В.01,Системы управления цифровым производством,7,,,,,5,180,180,50,94,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,20,,30,,94,36,,,,,,,,97
+,Б1.В.02,Интеллектуальные системы управления техническими объектами,8,,,,,4,144,144,35,73,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,14,,21,73,36,97
+,Б1.В.03,Управление данными в производственных системах,,4,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.В.04,Программируемые логические контроллеры,,6,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,36,,54,,,,,,,,,,,,,,,,,97
+,Б1.В.05,Автоматизированные системы управления предприятием,8,,,,,5,180,180,35,109,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,14,,21,109,36,97
+,Б1.В.06,Управление техническими системами и процессами,,8,,8,,4,144,144,21,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,7,,14,123,,97
+,Б1.В.07,Основы теории систем,,3,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.В.08,Организация и планирование производств,,7,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,,36,54,,,,,,,,,97
+,Б1.В.09,Информационно-управляющие системы,7,,,,,5,180,180,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,36,,36,72,36,,,,,,,,378
+,Б1.В.10,Электронные устройства автоматики,,5,,,,4,144,144,54,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,90,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.В.11,Программное обеспечение систем управления,5,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,,,,,,,,97
+,Б1.В.12,Цифровые системы управления,6,,,,,5,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,97
+,Б1.В.13,Теория и практика эффективного речевого общения,,2,,,,3,108,108,54,54,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,7,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,,36,108,36,,,,,,,,
+,Б1.В.ДВ.01.01,Цифровизация проектирования технических систем,7,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,,36,108,36,,,,,,,,97
-,Б1.В.ДВ.01.02,Технология цифрового проектирования технических устройств,7,,,,,6,216,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,,36,108,36,,,,,,,,97
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,,6,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.02.01,Оптимальные и адаптивные системы,,6,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,97
-,Б1.В.ДВ.02.02,Адаптивное управление,,6,,,,3,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,97
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,,7,,7,,6,216,216,90,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,54,,126,,,,,,,,,
+,Б1.В.ДВ.03.01,SCADA-системы,,7,,7,,6,216,216,90,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,54,,126,,,,,,,,,378
-,Б1.В.ДВ.03.02,DCS-системы,,7,,7,,6,216,216,90,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,54,,126,,,,,,,,,378
Блок 2.Практика ,,,,,,,,21,756,756,,756,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,21,756,756,,756,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,,9,324,,,,324,,
+,Б2.О.01(У),Ознакомительная практика,,,24,,,6,216,216,,216,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
+,Б2.О.02(П),Проектная практика,,,6,,,6,216,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,,97
+,Б2.О.03(П),Преддипломная практика,,,8,,,9,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,97
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01(Д),"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",,,,,,9,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,97
ФТД.Факультативные дисциплины ,,,,,,,,4,144,144,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,72,,,,,,,,,,,,,,,,,,,,,,,,
+,ФТД.01,Теория поиска инновационных решений,,5,,,,2,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,97
+,ФТД.02,Алгоритмы и структуры данных,,5,,,,2,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,93
