з.е.,Распределение з.е. по курсам и периодам обучения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.03
Английский язык для профессиональных целей
[За]
УК-4.1; УК-4.2; УК-4.3",2,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
23,,{$},,,,{$},,,,,{$},,"Б1.О.39
Информационные технологии
[За]
ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-9.1",3,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.04
Защита программ и данных
[Эк]
ПК-1.1; ПК-1.2; ПК-3.1; ПК-3.2; ПК-4.1; ПК-4.2; ПК-5.1; ПК-5.2; ПК-5.3; ПК-5.4; ПК-5.5; ПК-6.1; ПК-6.2",5,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,"Б1.О.41
Языки программирования
[За]
ОПК-7.1; ОПК-7.2; ОПК-7.3",4,{$},,"Б1.О.35
Физика
[За]
ОПК-4.1",4,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
24,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.О.42
Языки программирования. Дополнительные разделы
[Эк]
ОПК-7.1; ОПК-7.2; ОПК-7.3",5,,{$},,,,{$},,,,,{$},,"Б1.В.05
Документоведение и документооборот
[За]
ПК-4.1; ПК-4.2",3,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.ДВ.02.01
Дисциплины по выбору Б1.В.ДВ.3: Модели безопасности компьютерных систем
[За]
(/ Основы вычислительного эксперимента)
ПК-2.1; ПК-4.1",3,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
25,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.07
Администрирование средств защиты информации в компьютерных системах и сетях
[За]
ПК-3.1; ПК-3.2; ПК-4.1; ПК-4.2",2,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
26,,{$},,,,{$},,,,,{$},,"Б1.О.42
Языки программирования. Дополнительные разделы
[За]
ОПК-7.1; ОПК-7.2; ОПК-7.3",4,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.О.50
Основы управленческой деятельности
[За]
УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3",3,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.О.40
Аппаратные средства вычислительной техники
[За]
ОПК-13.1",3,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
27,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.ДВ.01.01
Дисциплины по выбору Б1.В.ДВ.2: Математическое моделирование в задачах информационной безопасности
[За]
(/ Конечные поля и многочлены над ними)
ПК-2.1",3,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,"Б1.О.41
Языки программирования
[Эк]
ОПК-7.1; ОПК-7.2; ОПК-7.3",4,,{$},,,,{$},,,,,{$},,,,{$},,"Б2.В.02(П)
Эксплуатационная практика
[ЗаО]
ПК-1.1; ПК-1.2; ПК-2.1; ПК-2.2; ПК-3.1; ПК-3.2; ПК-4.1; ПК-4.2; ПК-5.1; ПК-5.2; ПК-5.3; ПК-5.4; ПК-5.5; ПК-6.1; ПК-6.2",3,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
28,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б2.О.02(П)
Научно-исследовательская работа. Часть 1
[За]
ОПК-3.1; ОПК-5.1.1; ОПК-5.1.2; ОПК-5.2.1; ОПК-5.2.2; ОПК-5.3.1; ОПК-5.3.2",3,,{$},,,,,,,,,{$},,"Б3.02(Г)
Подготовка к сдаче и сдача государственного экзамена
[Эк]
УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-3.1; ОПК-5.1.1; ОПК-5.1.2; ОПК-5.2.1; ОПК-5.2.2; ОПК-5.3.1; ОПК-5.3.2; ПК-1.1; ПК-1.2; ПК-2.1; ПК-2.2; ПК-3.1; ПК-3.2; ПК-4.1; ПК-4.2; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2",3,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
29,,,,,,{$},,,,,{$},,,,{$},,"Б2.В.01(У)
Учебно-лабораторный практикум
[За]
УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; ПК-1.1; ПК-1.2; ПК-2.1; ПК-2.2",3,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.01
Анализ систем обеспечения информационной безопасности объектов информатизации
[За]
ПК-2.1; ПК-2.2; ПК-4.1; ПК-4.2; ПК-5.1; ПК-5.3",4,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.03
Английский язык для профессиональных целей
[За]
УК-4.1; УК-4.2; УК-4.3",2,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
30,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б2.О.02(П)
Научно-исследовательская работа. Часть 1
[За]
ОПК-3.1; ОПК-5.1.1; ОПК-5.1.2; ОПК-5.2.1; ОПК-5.2.2; ОПК-5.3.1; ОПК-5.3.2",1,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,{$},,,,{$},,,,,{$},,,,,,,,,{$},,,,,,,
31,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,"ФТД.01
Основы стеганографии
[За]
ОПК-8.1; ОПК-10.1",2,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,"Б2.О.01(У)
Ознакомительная практика
[За]
УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-7.1; ОПК-7.2; ОПК-7.3",3,,,,,,{$},,,,,{$},,"ФТД.02
Цифровая обработка сигналов
[За]
ОПК-8.1",2,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
32,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,{$},,,,,{$},,,,,,,,,,,,,,,,
33,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,"Б2.О.02(П)
Научно-исследовательская работа. Часть 1
[За]
ОПК-3.1; ОПК-5.1.1; ОПК-5.1.2; ОПК-5.2.1; ОПК-5.2.2; ОПК-5.3.1; ОПК-5.3.2",2,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
34,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,,,,,
